DATE,FORMAT,POST,LABELS,IMPRESSIONS,REACTIONS,COMMENTS,SHARES,CLICKS,VIDEO-VIEWS
10-Apr-26, Video,Picture,Oncology Operations LeaderPatient-Centered StoriesOncology Clinic Leader,19,1,0,0,2,4
10:01 AM CDT,,Highlands Bell Ringing video and patient support services,,,,,,,
,,"When the oncology bell rings, it represents far more than a single moment.",,,,,,,
,,"Recently at Highlands Oncology, Alexis rang the bell after a long and difficult leukemia journey, a milestone shaped by f...",,,,,,,
8-Apr-26, Image,Picture,Oncology Clinic LeaderTeam & Culture,15,1,0,0,0,0
9:00 AM CDT,,Susan Sabo-Wagner advisor post,,,,,,,
,,We’re honored to welcome Susan Sabo-Wagner as an advisor to Hidalga Technologies!,,,,,,,
,,"Susan brings more than 25 years of experience in oncology care, clinical leadership, and healthcare strategy. As a...",,,,,,,
6-Apr-26, Image,Picture,Events & PartnershipsOncology Operations Leader,7,1,0,0,0,0
9:01 AM CDT,,Joshua and Jeejo Attending Rural oncology conference April 17-18,,,,,,,
,,We’re presenting our NSF funded research at the 2026 Rural Oncology Conference in Minneapolis organized by the Rural Cancer Institute.,,,,,,,
,,"Rural oncology programs face unique challenges, including wo...",,,,,,,
3-Apr-26, Video,Picture,Oncology Operations LeaderOncology Technical LeaderVideo,4,1,0,0,0,1
9:00 AM CDT,,Posts about journal content,,,,,,,
,,"The Journal of Oncology Practice highlights how complex oncology care has become, not just clinically, but operationally and technically.",,,,,,,
,,"For healthcare IT teams, these challenges often come down ...",,,,,,,
1-Apr-26, Image,Picture,Oncology Clinic LeaderTeam & Culture,8,2,0,0,0,0
9:02 AM CDT,,Team and culture: Conley promotion to R&D lead CTA,,,,,,,
,,Big news from our team: Conley has been promoted to Digital Supervisor at his day job!,,,,,,,
,,,,,,,,,
,,"His curiosity, technical rigor, and collaborative mindset have supported our data science progress since joi...",,,,,,,
30-Mar-26, Image,Picture,Oncology Clinic LeaderPatient-Centered Stories,13,1,0,0,0,0
9:02 AM CDT,,Post on Cancer support services,,,,,,,
,,Cancer care goes far beyond what happens inside the clinic.,,,,,,,
,,"For patients and families, the journey can include transportation challenges, financial strain, emotional stress, and the need for ongoi...",,,,,,,
27-Mar-26, Image,Picture,Oncology Technical LeaderOncology Clinic LeaderTeam & Culture,13,2,0,0,0,0
12:35 PM CDT,,Karen Kilroy joins the team,,,,,,,
,,We’re pleased to welcome Karen Kilroy to the Hidalga Technologies team as a Software Developer.,,,,,,,
,,Karen brings more than 20 years of experience building enterprise software platforms. Her work inclu...,,,,,,,
25-Mar-26, Link,Picture,Oncology Financial LeaderOncology Technical LeaderThought Leadership & Industry InsightsOncology Operations Leader,11,2,0,0,0,0
12:34 PM CDT,,"CDIs w Dr. Metzner-Sadurski, Dr. Yuan, and support of Oncology101.org",,,,,,,
,,A patient hears “clinical trial” and thinks:,,,,,,,
,,“Am I a guinea pig?”,,,,,,,
,,That moment matters more than we think.,,,,,,,
,,"After speaking with two community oncologists, Dr. Joanna Metzner-Sadurski and Dr. Ruilin...",,,,,,,
23-Mar-26, Video,Picture,VideoOncology Technical LeaderOncology Clinic LeaderTeam & Culture,10,2,0,0,0,3
12:31 PM CDT,,NSF I-Corps Customer Discovery support request,,,,,,,
,,"Cancer treatment delays are often framed as clinical problems, but many start upstream, long before therapy begins.",,,,,,,
,,"Across the oncology teams we’ve spoken with, prior authorizations, documentation...",,,,,,,
20-Mar-26, Link,Picture,Oncology Financial LeaderOncology Technical LeaderOncology Operations LeaderThought Leadership & Industry Insights,15,2,0,0,0,0
12:33 PM CDT,,Joshua attending HOPA March 25-28,,,,,,,
,,We’re excited to attend Hematology/Oncology Pharmacy Association - HOPA 2026 in New Orleans this March.,,,,,,,
,,"Oncology pharmacists are central to many of the most complex decisions in cancer care, from ...",,,,,,,
20-Mar-26, Image,Picture,Thought Leadership & Industry InsightsOncology Operations Leader,7,2,0,0,0,0
12:15 PM CDT,,Major Health Insurers Announce Prior Authorization Reform. What This Means for Oncology Clinics.,,,,,,,
,,"Several major health insurers, including Aetna, UnitedHealthcare, Cigna, Humana, Elevance, and Blue Cross Blue Shield, have announced plans to streamline prior authorization beginning in 2026.",,,,,,,
,,The...,,,,,,,
18-Mar-26, Image,Picture,Events & PartnershipsOncology Operations Leader,15,3,0,0,1,0
1:08 PM CDT,,Innovation Pacesetter 2026 ABOY,,,,,,,
,,We were honored to attend the Arkansas Business of the Year Awards and celebrate the companies and leaders helping move Arkansas forward.,,,,,,,
,,Our team was especially proud to see our founder and CEO J...,,,,,,,
16-Mar-26, Image,Picture,Thought Leadership & Industry InsightsOncology Technical Leader,9,2,0,0,0,0
12:13 PM CDT,,GENEROUS (GENErating cost Reductions fOr U.S. Medicaid) Model,,,,,,,
,,"CMS has announced the GENEROUS Model, a five-year initiative beginning in 2026 aimed at lowering Medicaid drug costs through negotiated pricing with manufacturers.",,,,,,,
,,Medicaid drug spending reached $...,,,,,,,
13-Mar-26, Image,Picture,Team & Culture,9,2,0,0,0,0
12:17 PM CDT,,Team and culture: PULSE Check- post on company core values,,,,,,,
,,The technology we build is guided by a simple question:,,,,,,,
,,Does this make healthcare work better for the people delivering care?,,,,,,,
,,Five core company values shape how we design and develop our platform...,,,,,,,
9-Mar-26, Image,Picture,Events & PartnershipsOncology Operations LeaderTeam & Culture,17,2,0,0,2,0
10:11 AM CDT,,HIMSS 2026 Post (jeejo pt2),,,,,,,
,,"#HIMSS26 begins today in Las Vegas, and we’re excited to be part of the conversation.",,,,,,,
,,"Jeejo Pallayi, CITO at Hidalga Technologies, will be attending HIMSS March 9–12 to connect with healthcare lea...",,,,,,,
6-Mar-26, Link,Picture,Events & PartnershipsOncology Operations Leader,12,2,0,0,1,0
12:42 PM CST,,Highway Venture's and VenturewellFLIPsapce cohort,,,,,,,
,,Hidalga Technologies has been selected for the 2026 FLIPspace 2.0: Advanced Mobility AI Cohort through VentureWell and Highway Ventures.,,,,,,,
,,FLIPspace supports startups building industry-specific AI s...,,,,,,,
4-Mar-26, Image,Picture,Oncology Clinic LeaderPatient-Centered Stories,23,3,0,0,0,0
10:48 AM CST,,Patient Story: Stephanie Cullum's Daughter,,,,,,,
,,A Patient Story That Stays With You,,,,,,,
,,"Stephanie Cullum recently shared her daughter Charlie’s cancer journey with us. It’s a story about treatment, resilience, and the hidden weight of administrativ...",,,,,,,
2-Mar-26, Video,Picture,VideoEvents & PartnershipsOncology Operations Leader,14,2,0,0,2,6
10:07 AM CST,,HIMSS 2026 Post (jeejo pt1),,,,,,,
,,"We’re excited for #HIMSS26 in Las Vegas, March 9–12, and looking forward to connecting with healthcare leaders and innovators from across the country.",,,,,,,
,,HIMSS continues to be a key event for explor...,,,,,,,
27-Feb-26, Image,Picture,Thought Leadership & Industry InsightsOncology Operations Leader,11,2,0,0,2,0
10:11 AM CST,,#MCEDact,,,,,,,
,,It’s official: the bipartisan Multi-Cancer Early Detection (MCED) Screening Coverage Act is now law!,,,,,,,
,,"For oncology clinics, earlier detection means more patients entering care at earlier stages. Th...",,,,,,,
25-Feb-26, Image,Picture,Events & PartnershipsOncology Clinic Leader,10,2,0,0,0,0
11:41 AM CST,,AR Business of the Year Awards,,,,,,,
,,We’re proud to be named a finalist in the Innovation Pacesetter category for the 2026 Arkansas Business of the Year Awards!!,,,,,,,
,,"Community clinics are under pressure from rising costs, reporting requi...",,,,,,,
25-Feb-26, Image,Picture,,8,2,0,0,0,0
10:07 AM CST,,We’re proud to be named a finalist in the Innovation Pacesetter category for the 2026 Arkansas Business of the Year Awards!!,,,,,,,
,,"Community clinics are under pressure from rising costs, reporting requi...",,,,,,,
23-Feb-26, Video,Picture,Thought Leadership & Industry InsightsVideoOncology Operations Leader,9,2,0,0,0,1
10:10 AM CST,,Early Signals from CMS’s Enhancing Oncology Model,,,,,,,
,,The first CMS evaluation of the Enhancing Oncology Model shows early cost savings from better drug utilization.,,,,,,,
,,"But there’s a catch: in the first six months, incentive payments outweighed savings....",,,,,,,
20-Feb-26, Image,Picture,Team & CultureOncology Clinic LeaderThought Leadership & Industry Insights,21,2,0,0,2,0
10:06 AM CST,,Panel at Innovative Logistics and Advanced Technologies Summit,,,,,,,
,,"We were glad to be part of the conversation at the Innovative Logistics and Advanced Technologies Summit at Rose State College, where our CITO, Jeejo Pallayi, joined leaders from across government,...",,,,,,,
18-Feb-26, Image,Picture,Team & Culture,14,1,0,0,2,0
10:00 AM CST,,Stacy A. Chick,,,,,,,
,,We’re grateful to be working with Stacy A. Chick as our Industry Mentor through the NSF I-Corps National program.,,,,,,,
,,"Stacy brings deep experience across oncology diagnostics, market access, and comme...",,,,,,,
14-Feb-26, Image,Picture,Patient-Centered StoriesOncology Clinic Leader,22,2,0,0,1,0
10:05 AM CST,,The oncology bell story,,,,,,,
,,The bell in an oncology clinic is never just a bell.,,,,,,,
,,"At Highlands Oncology, it marks the end of treatment and the beginning of a new chapter. It reflects the strength of patients, the dedication o...",,,,,,,
11-Feb-26, Video,Picture,Thought Leadership & Industry InsightsVideo,10,1,0,0,0,2
10:02 AM CST,,Medicare Drug Price Cuts Could Put Oncology Practices at Risk,,,,,,,
,,"A recent Oncology News Central article describes how new Medicare drug pricing changes under the Inflation Reduction Act could have meaningful downstream effects for oncology practices, especially ...",,,,,,,
9-Feb-26, Multi-Image, +2,Team & Culture,17,1,0,0,0,0
10:00 AM CST,,Gavin (Guatemala),,,,,,,
,,"Meet Gavin Kyer, our Clinical Outreach Coordinator.",,,,,,,
,,Gavin recently returned from his third medical brigade to Central America with the nonprofit Global Brigades. The brigade was made up of pre-hea...,,,,,,,
6-Feb-26, Image,Picture,Team & Culture,13,1,0,0,0,0
10:02 AM CST,,What does Hidalga mean story,,,,,,,
,,"The term ""Hidalga"" comes from a tradition of earned nobility, defined not by inheritance or dominance, but by character, stewardship, and care for others. That meaning matters to us.",,,,,,,
,,Healthcare an...,,,,,,,
2-Feb-26, Image,Picture,Team & Culture,16,3,0,0,1,0
10:00 AM CST,,Ancil Lea,,,,,,,
,,"Grateful to Ancil Lea, a trusted connector and mentor who brings the right solutions to the clinic teams that need them most. With 30+ years delivering high-value healthcare technology, leading the...",,,,,,,
29-Jan-26, Image,Picture,Team & Culture,18,3,0,0,0,0
10:00 AM CST,,Traci Ditmore,,,,,,,
,,"Traci Ditmore, MPH | Oncology RCM Advisor",,,,,,,
,,"We’re honored to collaborate with Traci Ditmore, MPH, Senior Healthcare Strategist with more than 25 years of revenue cycle experience across physician gr...",,,,,,,
27-Jan-26, Image,Picture,Team & Culture,634,49,1,1,57,0
10:02 AM CST,,Quarterly Rocks Report,,,,,,,
,,"Proud to shine a spotlight on the work our team delivered this past quarter with deep, practical insights that are already shaping how we build and serve clinics.",,,,,,,
,,Gavin tackled one of the toughest...,,,,,,,
22-Jan-26, Image,Picture,Team & Culture,32,3,0,0,2,0
10:01 AM CST,,Matthew White,,,,,,,
,,"We’re glad to have Matthew White, CFA, advising us on payer engagement and reimbursement strategy.",,,,,,,
,,He brings a thoughtful perspective on how hidalga™ fits within real-world reimbursement structure...,,,,,,,
20-Jan-26, Image,Picture,Team & Culture,21,2,0,0,0,0
10:01 AM CST,,Natalie Freels,,,,,,,
,,"We’re thankful for the perspective of Natalie Freels, PA-C, a practicing clinician and commercialization advisor.",,,,,,,
,,"As CEO of InsightHealth, Natalie brings hands-on experience in clinical operations...",,,,,,,
15-Jan-26, Image,Picture,Events & Partnerships,20,2,0,0,1,0
10:00 AM CST,,StartupPrize: Focus on Health Founder Spotlight,,,,,,,
,,"Joshua Upshaw, Founder & CEO of Hidalga Technologies, recently had the privilege of checking in with Melissa Brannan to talk about our mission, our why, and the lessons behind the work we do every ...",,,,,,,
13-Jan-26, Image,Picture,Thought Leadership & Industry Insights,11,2,0,0,0,0
10:00 AM CST,,Medicare Advantage,,,,,,,
,,"In 2023, Medicare Advantage insurers processed nearly 50 million prior authorization determinations, compared to fewer than 400,000 in traditional Medicare despite similar enrollment sizes.",,,,,,,
,,Althou...,,,,,,,
8-Jan-26, Image,Picture,Patient-Centered Stories,29,2,0,0,1,0
10:00 AM CST,,Karen Kilroy,,,,,,,
,,Resilience Meets Innovation: Karen Kilroy’s Story,,,,,,,
,,"When cancer impacted her life, AI engineer, Karen Kilroy turned to an unexpected source of support: artificial intelligence.",,,,,,,
,,"Misdiagnosed cancer, ...",,,,,,,
6-Jan-26, Image,Picture,Team & Culture,15,1,0,0,0,0
10:00 AM CST,,"Advisor/Consultant: Cian Robinson, MBA",,,,,,,
,,"Cian Robinson, MS | Market Access & PBM Strategy Advisor",,,,,,,
,,"We’re excited to share that Cian Robinson, MS Public Policy, is supporting us as a market access advisor! Cian offers experienced perspecti...",,,,,,,
1-Jan-26, Image,Picture,Thought Leadership & Industry Insights,13,1,0,0,1,0
10:01 AM CST,,Prior Auth Burden for Physicians & Patients,,,,,,,
,,"A mounting burden: physicians are reporting serious administrative overload as prior authorization demands surge. Many report delays, disrupted care, and burnout tied to prior auth workloads.",,,,,,,
,,For...,,,,,,,
30-Dec-25, Image,Picture,Thought Leadership & Industry Insights,12,1,0,0,1,0
10:02 AM CST,,On AI → Prior-Auth Denials,,,,,,,
,,New data alert: 61% of physicians are concerned payer prior authorization AI tools will drive up denials and will undermine clinical judgment.,,,,,,,
,,"For oncology clinics navigating high-cost, biomarker...",,,,,,,
25-Dec-25, Image,Picture,Events & Partnerships,8,1,0,0,0,0
10:00 AM CST,,NSF SBIR Ph I Workshop,,,,,,,
,,The NSF SBIR Phase I awardee workshop this month was energizing.,,,,,,,
,,"We had the chance to learn from sessions on National I-Corps training, Phase II review insights, storytelling, intellectual propert...",,,,,,,
23-Dec-25, Image,Picture,Events & Partnerships,8,0,0,0,0,0
10:00 AM CST,,AR 10X accelerator completion,,,,,,,
,,We’re proud to share that Hidalga Technologies completed the AR 10X Accelerator Program facilitated by the Conductor supported by the Arkansas Economic Development Commission,,,,,,,
,,This experience sharp...,,,,,,,
18-Dec-25, Image,Picture,Thought Leadership & Industry Insights,6,0,0,0,0,0
10:02 AM CST,,Global Cancer Burden,,,,,,,
,,The global cancer burden is rising fast and cancer services are not keeping pace. Recent estimates show many countries lack adequate financing for priority cancer care and palliative services.,,,,,,,
,,Th...,,,,,,,
16-Dec-25, Image,Picture,Thought Leadership & Industry Insights,4,0,0,0,0,0
10:00 AM CST,,Growth of AI in healthcare market,,,,,,,
,,"The AI in healthcare market is ballooning, reflecting strong demand for automation across clinical and administrative domains, including prior authorization, claims, and care coordination.",,,,,,,
,,As pay...,,,,,,,
11-Dec-25, Image,Picture,Team & Culture,14,1,0,0,0,0
10:01 AM CST,,"Advisor/Consultant: Jenn Pingul, MHA",,,,,,,
,,"Jenn Pingul, MHA | Specialty Pharmacy Advisor",,,,,,,
,,"We’re thrilled to have Jenn Pingul, MHA, advising on specialty pharmacy operations on a national level.",,,,,,,
,,Jenn brings extensive experience in pharmacy ...,,,,,,,
9-Dec-25, Image,Picture,Team & Culture,5,0,0,0,0,0
10:01 AM CST,,Trey Hulse,,,,,,,
,,"Trey Hulse, MBA | Full Stack Software Engineer",,,,,,,
,,"We’re thrilled to have @Trey Hulse, MBA, joining as a full stack software development engineer for the hidalga™ project.",,,,,,,
,,Trey brings deep expertise ...,,,,,,,
5-Dec-25, Simple Status,,,6,0,0,0,0,0
11:22 AM CST,,,,,,,,,
4-Dec-25, Image,Picture,Thought Leadership & Industry Insights,12,0,0,0,0,0
10:00 AM CST,,Clinic focused,,,,,,,
,,39 prior auths EVERY week… per physician?!,,,,,,,
,,That’s 13 hours of lost clinical time.,,,,,,,
,,And 89% of clinicians say prior auth fuels burnout.,,,,,,,
,,How is this still acceptable in 2025?!,,,,,,,
,,#ClinicianBurnout #H...,,,,,,,
2-Dec-25, Image,Picture,Thought Leadership & Industry Insights,0,0,0,0,0,0
10:00 AM CST,,Data focused industry insight,,,,,,,
,,$3.41 vs $0.05 per prior auth… which one would YOU choose?!,,,,,,,
,,"Automation can drop costs by ~98%, and clinics are still stuck with manual workflows.",,,,,,,
,,Imagine that multiplied across thousands of autho...,,,,,,,